user_id,product_id,action,timestamp
1,564,view,2026-04-05T17:10:38Z
1,458,click,2026-04-05T17:26:38Z
1,210,add_to_cart,2026-04-05T17:35:38Z
1,1117,checkout,2026-04-05T18:19:38Z
1,1210,purchase,2026-04-05T18:25:38Z
1,62,remove_cart,2026-04-05T18:28:38Z
1,477,click,2026-04-05T18:42:38Z
1,408,view,2026-04-05T19:18:38Z
1,920,remove_cart,2026-04-05T19:33:38Z
1,14,search,2026-04-05T20:25:38Z
1,866,add_to_cart,2026-04-05T21:10:38Z
1,319,wishlist,2026-04-05T21:28:38Z
1,690,purchase,2026-04-05T22:17:38Z
1,779,click,2026-04-05T22:23:38Z
1,705,click,2026-04-05T22:46:38Z
1,89,search,2026-04-05T23:38:38Z
1,256,checkout,2026-04-06T00:13:38Z
1,1131,remove_cart,2026-04-06T00:19:38Z
1,1288,search,2026-04-06T01:13:38Z
1,394,wishlist,2026-04-06T01:50:38Z
1,1355,click,2026-04-06T01:53:38Z
1,593,purchase,2026-04-06T02:43:38Z
1,477,click,2026-04-06T03:38:38Z
1,570,click,2026-04-06T04:03:38Z
1,748,checkout,2026-04-06T04:44:38Z
1,728,add_to_cart,2026-04-06T05:08:38Z
1,547,purchase,2026-04-06T05:51:38Z
1,1301,click,2026-04-06T06:30:38Z
1,1494,add_to_cart,2026-04-06T07:05:38Z
1,947,purchase,2026-04-06T07:16:38Z
1,1311,remove_cart,2026-04-06T07:34:38Z
1,665,purchase,2026-04-06T08:18:38Z
1,66,view,2026-04-06T08:33:38Z
1,549,wishlist,2026-04-06T08:59:38Z
1,1162,click,2026-04-06T09:13:38Z
1,1343,wishlist,2026-04-06T09:27:38Z
1,1317,checkout,2026-04-06T09:53:38Z
1,543,checkout,2026-04-06T10:03:38Z
1,1150,add_to_cart,2026-04-06T10:19:38Z
1,1198,search,2026-04-06T11:07:38Z
1,1196,remove_cart,2026-04-06T12:05:38Z
1,450,remove_cart,2026-04-06T12:29:38Z
1,1011,add_to_cart,2026-04-06T13:02:38Z
1,97,click,2026-04-06T13:51:38Z
1,1286,click,2026-04-06T14:01:38Z
1,1394,add_to_cart,2026-04-06T14:52:38Z
1,131,remove_cart,2026-04-06T15:31:38Z
1,1221,remove_cart,2026-04-06T15:56:38Z
1,515,checkout,2026-04-06T16:30:38Z
1,1477,view,2026-04-06T17:14:38Z
1,1100,click,2026-04-06T17:58:38Z
1,1313,search,2026-04-06T18:48:38Z
1,602,wishlist,2026-04-06T18:56:38Z
1,930,remove_cart,2026-04-06T19:07:38Z
1,1474,view,2026-04-06T19:54:38Z
1,366,search,2026-04-06T20:27:38Z
